"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","1 - Vous êtes ? ","Votre statut :","Votre ancienneté dans la profession d'enseignant/chercheur (permanent ou non)","Autre statut :","Ancienneté de nomination sur votre premier poste (MCF, PU ou assimilé)","Obtention de l'HDR","Ancienneté de nomination sur votre poste actuel (MCF, PU ou assimilé)","Type de votre établissement","Autre établissement : ","Ville ","Vous êtes rattaché.e à :","Formation en informatique","Formation à forte composante informatique","Autres formations","Vous êtes membre d'un laboratoire","Au total","En Informatique","Distance en temps pour transiter de votre lieu d'enseignement à celui de la recherche","Commentaires éventuels (sur le formulaire ou sur votre situation personnelle)","Faites vous des heures complémentaires ?","Vous les faîtes majoritairement","cette année","ces cinq dernières années","Si vous avez une décharge d'enseignement, à combien se monte-elle en heures en moyenne par an  ","Combien de mois d'aménagement de temps (CRCT, délégation....) avez-vous obtenus ces dix dernières années","Quantité d'étudiants (TD/TP)","Quantité d'heures d'enseignement","Etat général des locaux et matériels","Equilibre volume CM/TD/TP","Organisation (rythme, doublons, horaires...) des enseignements","Relation avec les étudiants","Equipe pédagogique (relations, nombre...)","Equipe technique  (relations, nombre, support, ...)","Equipe administrative  (relations, nombre, support, ...)","Evaluation de vos enseignements","Charges administratives (volume, complexité...)","Responsabilités pédagogiques (UE, Année...)","Responsabilité de filière","Pensez-vous qu'il soit reconnu intitutionnellement ?","Appréciation personnelle sur l'enseignement","Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de l'enseignement)","Quantité de doctorants/stagiaires/... ces 5 dernières années contribuant à votre recherche","Nbe d'heures de recherche disponibles","Etat général des locaux et matériels","Moyens financiers pérennes","Moyens financiers issus de projets","Equilbre montage de projet/réalisation concrète de projets","Ratio temps montage / taux de succès aux appels nationaux","Ratio temps montage / taux de succès aux appels internationaux","Retio temps montage-discussion / taux de succès aux contrats industriels","Equipe de recherche (relations, nombre...)","Equipe technique (relations, nombre, support, ...)","Equipe administrative  (relations, nombre, support, ...)","Charges administratives (projet, ..)","Animation (séminaire, médiatisation...)","Responsabilités locales (équipes, laboratoire...)","Responsabilités nationales ou internationales","Appréciation personnelle sur la recherche","Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de la recherche)","Avez-vous des charges administratives ?","Resp. administratives","Resp. pédagogiques","Resp. électives (Conseils de composantes, de laboratoire, ...)","Autres","J'apprécie mes charges/activités administratives","J'ai  beaucoup de charges administratives","Je ne les ai pas vraiment ""choisies"" (elles m'ont été imposées / je les ai acceptées parce que personne ne voulait les prendre en charge)","Il y a des charges administratives que j'aurais voulu assurer mais que je n'ai pas pu obtenir","Certains  de mes collègues se défilent trop souvent à accepter ces charges","Mes responsabilités administratives sont bien prises en compte lors de l'évaluation de mon dossier RIPEC","Mes charges/activités administratives influent positivement sur le déroulement de ma carrière","Les moyens financiers pérennes nécessaires à ces activités sont suffisants","Les équipe administratives et/ou techniques nécessaires à ces activités sont suffisantes","J'ai assez d'automie dans ces activités","Quel serait pour vous, la répartition ""idéale"" entre Enseignement/Rech/Adm (donnez votre réponse sous la forme d'un ratio E/R/A - Ex. 45/45/10)","Pensez-vous avoir de bonnes chances d'avoir la RIPEC3 ?","Pensez-vous avoir de bonnes chances de progresser dans votre carrière (changement de grade, de classe... ?","Finalement trouvez vous ce métier encore intéressant ?","Pensez-vous qu'il est attirant pour de jeunes chercheurs ?","Le conseilleriez-vous à un futur docteur en Informatique ?","Pouvez-vous expliquer vos réponses merci ..."
"64","15912941","4/9/2023 15:51","4/9/2023 15:51","4/9/2023 15:51","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une forte composante en informatique",">200",">200","","majoritairement informatique (rattaché INS2I ou INSIS)","101 - 200","101 - 200","0","","Oui","Par nécessité de service","51 - 80","81 - 120","0","0","3","4","2","1","3","1","3","2","1","1","2","2","2","2","J'aime toujours enseigner mais un demi service me suffirait","","3","3","1","5","0","1","5","NSPP","5","0","1","4","4","0","0","1","J'aime toujours faire de la recherche","","Oui","<5","<5","","","4","2","0","NSPP","NSPP","NSPP","1","5","5","1","75/20/05","Oui","Non","2","5","4",""
"65","15913576","4/9/2023 18:15","4/9/2023 18:15","4/9/2023 18:15","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","un département d'informatique d'IUT","<50","<50",">200","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","90","","Oui","Par nécessité de service","121 - 150","121 - 150","0","0","5","5","5","5","5","5","5","5","5","5","5","5","5","5","J'aime toujours enseigner","","0","5","5","0","0","0","0","0","0","NSPP","5","5","5","5","5","5","J'aime toujours faire de la recherche","","Oui",">15","","","","5","5","5","0","5","0","0","5","5","5","50/50/0","Non","Non","5","1","1",""
"66","15915153","4/10/2023 7:54","4/10/2023 7:54","4/10/2023 7:54","0","0.0.0.0","0","Anonymous","Une femme","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique","<50","<50","<50","majoritairement non informatique (non rattaché INS2I ou INSIS)","<50","","0","","Oui","Par nécessité de service","<50","<50","0","0","5","4","2","NSPP","3","4","2","2","2","NSPP","3","3","3","2","J'aime toujours enseigner","","2","1","2","1","3","3","3","NC","NC","2","2","2","3","NSPP","NC","NC","J'aime toujours faire de la recherche","","Oui","","5 - 8","","","1","3","4","1","4","NC","1","3","2","3","45/45/10","Non","Non","3","2","1","Il y a beaucoup de bons côtés dans ce métier (l'enseignement, la liberté dans la conduite de sa recherche, cela reste un travail gratifiant). Mais dans un domaine évoluant très rapidement, le temps disponible pour la veille scientifique et la mise à jour de ses compétences est trop restreint et trop morcelé. Il faudrait que cela soit davantage reconnu et encouragé (financement de formations par exemple, comme cela se fait dans le privé). Je trouve également que les dossiers de demande de primes sont trop chronophages, et donc je ne les dépose pas car il y a toujours d'autres choses urgentes (et surtout plus intéressantes) à faire. Personnellement, l'argent ne m'intéresse pas, je préférerais avoir plus de temps à consacrer à la recherche et un meilleur soutien administratif. Cet argent pourrait être consacré à des recrutements, qui rendraient notre quotidien plus facile."
"67","15917713","4/10/2023 14:31","4/10/2023 14:31","4/10/2023 14:31","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","un département d'informatique d'IUT",">200","<50","<50","majoritairement non informatique (non rattaché INS2I ou INSIS)","101 - 200","50 - 100","0","","Oui","Par nécessité de service","51 - 80","51 - 80","40","0","2","1","2","2","3","4","2","4","4","NC","3","NC","NC","4","J'aime toujours enseigner mais un demi service me suffirait","","4","1","1","1","3","3","3","NSPP","NSPP","2","0","2","2","NSPP","2","NSPP","J'aime toujours faire de la recherche","","Oui","9 - 15","<5","","5 - 8","2","1","3","NSPP","0","NC","3","0","0","2","20/60/20","Oui","Oui","4","2","4",""
"68","15923766","4/11/2023 9:22","4/11/2023 9:22","4/11/2023 9:22","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","un autre département d'IUT","","101 - 150","","majoritairement informatique (rattaché INS2I ou INSIS)","101 - 200","101 - 200","50","IUT sur site délocalisé","Oui","Un peu des deux","<50","51 - 80","0","6","2","3","5","2","5","5","4","4","4","3","2","2","2","3","J'aime toujours enseigner mais un demi service me suffirait","","3","1","5","3","5","4","3","3","5","4","3","4","4","NSPP","3","NC","J'aime toujours faire de la recherche","","Oui","9 - 15","<5","","","2","4","5","NC","5","5","5","5","4","5","30/20/50","Oui","Oui","5","2","2","Salaire peu attrayant en début de carrière."
"69","15923772","4/11/2023 9:23","4/11/2023 9:23","4/11/2023 9:23","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","","","","","","Ecole d'Ingénieurs (hors Université)","","","une Ecole d'ingénieur avec une forte composante en Informatique",">200","50 - 100","<50","majoritairement informatique (rattaché INS2I ou INSIS)","201 - 300","201 - 300","0","","Oui","Un peu des deux","121 - 150","121 - 150","0","1","3","4","3","3","0","0","1","1","0","1","0","3","3","3","S'il y a un moyen de ne plus en enseigner, ça m'intéresse","Malgré de très bonnes conditions perte de l'envie d'enseigner, aucun soutien de la part des différentes directions (recherche, formation), tensions entre les services

Système d'information qui se dégrade, aucun support informatique pour la pédagogie

On constate même un retour en arrière sur de nombreux aspects (notamment sur les systèmes d'infos)","","","","","","","","","","","","","","","","","J'aime toujours faire de la recherche","","Non","","","","","","","","","","","","","","","0/0/0","Oui","Non","","","","Questionnaire trop long ! Il aurait fallu laisser la place au qualitatif (texte) comme ici

Globalement l'établissement ne concerte pas lors de l'évolution, les EC sont à la fois là pour enseigner mais aussi mettre en place des politiques déjà décidées et mal ficelées

L'établissement n'exploite pas du tout le potentiel des ECs qui pourraient aider à ne pas faire des erreurs stratégiques des établisssments sur par exemple la nature ou volume des nouvelles formations

Aucune perspective d'évolution aussi en général"
"70","15923845","4/11/2023 9:25","4/11/2023 9:25","4/11/2023 9:25","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (avec HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","un autre département d'IUT","<50",">200","","majoritairement non informatique (non rattaché INS2I ou INSIS)",">300","101 - 200","45","","Oui","Un peu des deux","bcp plus !","81 - 120","0","0","3","2","4","3","1","3","3","3","3","3","0","1","2","1","J'aime toujours enseigner mais un demi service me suffirait","","4","0","2","0","3","1","3","0","2","1","1","1","0","1","3","2","J'aime toujours faire de la recherche","","Oui","5 - 8","5 - 8","","<5","0","0","2","1","0","NSPP","0","2","2","2","1/3/1","Je ne suis pas ou plus concerné","Qui sait, sur un malentendu ...","2","1","1",""
"71","15924028","4/11/2023 9:32","4/11/2023 9:32","4/11/2023 9:32","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une Ecole d'ingénieur avec une forte composante en Informatique","50 - 100","","","majoritairement informatique (rattaché INS2I ou INSIS)",">300","","0","","Oui","Par nécessité de service","81 - 120","81 - 120","0","0","2","2","1","2","4","4","2","1","1","2","5","3","NC","0","J'aime toujours enseigner","L'impression générale est que l'investissement dans l'enseignement est à perte d'un point de vue évolution de carrière.
Toute expérimentation dans l'innovation pédagogique se heurte à une incompréhension (voire incompétence) des responsables de notre DSI/Université","2","2","1","2","1","0","0","2","3","1","0","1","2","NC","NC","4","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","Le temps consacré à la recherche est fortement réduit par les temps administratifs à y consacrer (je ne compte pas ça comme de la recherche : la recherche de financement n'étant pas de la recherche...)","Oui","","<5","",">15","3","4","5","4","5","2","3","0","0","5","45/40/15","Je ne suis pas ou plus concerné","Non","2","1","1","Aujourd'hui, le meilleur moyen de recrutement reste les LRU... du temporaire qui reste une vaste blague qui détériore les équipes/services/départements.
Les moyens sont de plus en plus concentrés vers un très petit nombre de personnes. Cela crée un malaise général qui est destructeur
Il m'est difficile de conseiller ce métier à un doctorant vu la très faible probabilité de recrutement sur un poste qui lui permettrait de s'épanouir."
"72","15924183","4/11/2023 9:38","4/11/2023 9:38","4/11/2023 9:38","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","un autre département d'IUT","<50","101 - 150","","majoritairement informatique (rattaché INS2I ou INSIS)","101 - 200","101 - 200","25","","Oui","Par nécessité de service","<50","81 - 120","0","0","5","1","3","2","2","4","3","2","3","4","1","1","1","1","J'aime toujours enseigner mais un demi service me suffirait","","4","1","5","2","3","3","2","4","NSPP","2","4","5","4","NSPP","NSPP","NSPP","J'aime toujours faire de la recherche","","Oui","5 - 8","5 - 8","","","0","2","4","NSPP","5","NSPP","1","1","1","5","60/40/0","Qui sait, sur un malentendu ...","Non","3","1","2","Trop peu rémunéré pour le temps passé.
Trop peu de temps finalement pour le coeur de métier enseignant-chercheur.
Trop de tâches administratives / pédagogiques."
"73","15924241","4/11/2023 9:41","4/11/2023 9:41","4/11/2023 9:41","0","0.0.0.0","0","Anonymous","Une femme","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique","101 - 150","101 - 150",">200","majoritairement non informatique (non rattaché INS2I ou INSIS)","50 - 100","<50","0","en ce qui concerne la question ""Nombre moyen d'étudiants inscrits sur l'ensemble de vos formations (toutes années confondues)"", je ne connais pas réellement les effectifs.","Non","","","","0","0","3","4","3","3","4","4","3","2","2","NC","NC","NC","NC","","J'aime toujours enseigner","je dispose d'un aménagement de poste de travail pour travailleur handicapé, raison pour laquelle je ne fais pas d'heures complémentaires.","0","3","2","1","1","NC","NC","NC","NC","1","1","2","NC","NC","NC","NC","J'aime toujours faire de la recherche","","Non","<5","<5","","<5","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","50/50/0 (en pourcentage)","Je ne suis pas ou plus concerné","Non","4","2","1","J'aime enseigner, et j'aime faire de la recherche.
mais les conditions concrètes (administrations, locaux, budgets, salaires) dégradent considérablement le plaisir de faire ce métier."
"74","15924419","4/11/2023 9:46","4/11/2023 9:46","4/11/2023 9:46","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique","<50","<50","50 - 100","majoritairement informatique (rattaché INS2I ou INSIS)","50 - 100","50 - 100","20","","Oui","","<50","","20","0","3","3","3","3","3","3","3","3","3","3","3","3","3","4","J'aime toujours enseigner","","","","","","","","","","","","","","","","","","","","Oui","<5","<5","","<5","0","4","3","0","NC","0","5","0","2","2","5/3/2","Qui sait, sur un malentendu ...","Oui","5","3","4","Pour l'aspect RIPEC notre établissement a une politique anti prime, ce qui veut dire que même des collègues évalués avec AAA par le CNU n'ont pas cette prime. C'est peut être le retour 1er année mais faut juste que l'établissement change un peu sa politique."
"75","15924484","4/11/2023 9:48","4/11/2023 9:48","4/11/2023 9:48","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique",">200","","","pluridiciplinaire avec une forte composante informatique",">300","101 - 200","10","","De façon très exceptionnelle","","","","64","0","5","5","3","3","4","5","5","5","5","5","5","5","NC","4","J'aime toujours enseigner","","5","3","4","2","4","3","3","NC","NC","5","5","5","4","5","NC","5","J'aime toujours faire de la recherche","","Oui","<5","<5","","","3","2","5","NC","3","NC","4","4","NSPP","5","40/40/20","Qui sait, sur un malentendu ...","Oui","5","4","5",""
"76","15924584","4/11/2023 9:51","4/11/2023 9:51","4/11/2023 9:51","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","un département d'informatique d'IUT","151 - 200","<50","<50","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","75","","Oui","Par nécessité de service","121 - 150","bcp plus !","350","0","4","1","5","5","5","5","5","4","4","3","0","1","2","4","J'aime toujours enseigner","Dommage que ""j'aime enseigné"" soit incompatible avec ""je conseille à quiconque..."" (comme si l'idée initiale était d'avoir ""je déconseille..."").","4","1","3","1","4","1","1","NC","1","3","4","4","1","0","1","1","J'aime toujours faire de la recherche","","Oui","5 - 8","5 - 8","","<5","0","5","2","0","4","5","5","1","0","4","50%/50%/0","Oui","Oui","5","1","5","Je reste convaincu que c'est le plus beau métier du monde et je le conseille à tou(te)s, mais l'état continu de le rendre non-attractif (la meilleure preuve en est le niveau général des candidats) par les contraintes qui sont imposées (trouver ses financements, réaliser des tâches de secrétariat, empêcher de voyager pour des raisons écologiques, etc.)"
"77","15924606","4/11/2023 9:52","4/11/2023 9:52","4/11/2023 9:52","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (avec HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","un autre département d'IUT","","101 - 150","","pluridiciplinaire sans composante informatique forte",">300","50 - 100","15","","Oui","Un peu des deux","bcp plus !","121 - 150","0","12","1","1","4","4","4","3","3","2","3","3","1","1","1","2","J'aime toujours enseigner","","4","2","3","1","3","1","3","2","NC","2","3","3","2","2","2","2","J'aime toujours faire de la recherche","","Oui","9 - 15","9 - 15","","5 - 8","2","2","2","2","2","2","2","2","2","2","40/50/10","Je ne suis pas ou plus concerné","Oui","4","2","4","La sous-dotation et le manque d'attractivité d'une petite université comme Limoges expliquent en partie mes réponses. Il est par exemple difficile de refuser d'assumer certaines charges administratives, ce qui handicape les jeunes E/C en début de carrière et limite leur accès aux grands réseaux de recherche."
"78","15924778","4/11/2023 9:58","4/11/2023 9:58","4/11/2023 9:58","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une Ecole d'ingénieur avec une forte composante en Informatique",">200",">200",">200","majoritairement informatique (rattaché INS2I ou INSIS)","201 - 300","201 - 300","0","l'Université Gustave Eiffel n'est pas dans la liste","Oui","Un peu des deux","121 - 150","121 - 150","50","12","4","1","2","5","3","4","4","4","4","4","2","2","2","1","J'aime toujours enseigner mais un demi service me suffirait","Le mélange ""relation, nombre"" dans les points ""Equipe pédagogique/tech/adm"" est étrange. Les relations sont bonnes mais les bras manquent...","4","2","2","3","4","NSPP","2","2","4","3","1","2","3","2","NSPP","NSPP","J'aime toujours faire de la recherche","J'aime toujours faire de la recherche mais j'ai réduit pour des raisons professionnelles ","Oui","<5","5 - 8","","<5","3","3","4","4","2","NC","4","NSPP","2","3","40/50/10","Je ne suis pas ou plus concerné","Je ne suis pas ou plus concerné","4","2","4","Travaillant dans le domaine de l'IA au sens large, il est très facile pour les doctorants de trouver un job dans le privé avec des conditions bien meilleures que celles que nous pouvons offrir à l'université en France. Les postes LRU qui devaient permettre d’offrir de meilleurs conditions sont justes utilisé pour faire des postes de MCF au rabais, forcément ça n'attire pas.

N'étant pas sous statut fonctionnaire et comme cela va probablement devenir de plus en plus courant, il serait bien d'élargir le cadre de réflexion sur les questions liées aux carrières.  "
"79","15924853","4/11/2023 10:01","4/11/2023 10:01","4/11/2023 10:01","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une Ecole d'ingénieur avec une forte composante en Informatique","",">200","","aucun (je ne fais plus vraiment de recherche)","","101 - 200","5","","Oui","Un peu des deux","bcp plus !","bcp plus !","70","0","3","2","2","3","3","4","4","3","3","NSPP","0","1","1","1","J'aime toujours enseigner mais un demi service me suffirait","Les taches administratives se sont multipliées au cours des années, les lourdeurs des processus administratifs ont été décuplés, le dictat des RH, des services financiers, des régulations européennes et des lois sur le travail, les contrôles et évaluation multipliés à tout les niveaux, ont rendu la vie de l'enseignant que je suis un véritable calvaire !
Les vacataires indispensables pour compléter nos besoins en enseignements partent les uns après les autres car il attendent des mois (voir des années !) avant que leur travail ne soit payé, et pour un salaire de misère. Les lois, réglementations, restrictions divers et variés sur le travail, impossibles à connaitre toutes car en perpétuels changements,  rendent leur recrutement une tache à plein temps. Pour 1h enseigné, ces sont des JOURS de travail qui incombent aux responsables de formation et de filière pour arriver tant bien que mal à boucher les trous. Et tout recommence l'année suivante quand ils découvrent qu'ils doivent attendre 6 mois pour percevoir un dédommagement ridicule (ce serait indécent de parler de salaire) et qu'ils abandonnent. 
Il est devenu quasiment impossible d'enseigner, une part grandissante de mon temps est consacré à ces taches et m'écartent complètement de ma mission d'enseignement. 
Quand à la recherche, on en parle plus, il a fallu faire une croix dessus, c'est terminé !
L'hyperadministrativité est la règle à tout les niveaux et partout, et ça aboutira à la destruction de ce qui reste du système éducatif et universitaire Français, déjà très largement engagée il y a de nombreuses années. 
","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","J'ai arrêté et pense ne plus recommencer","","Oui",">15",">15","",">15","0","0","3","5","0","2","0","0","0","0","50/50/0","Je ne suis pas ou plus concerné","Non","1","3","3","Ce que je suis contraint de faire ne m'intéresse plus. Mais c'est intéressant pour un jeune car il aura moins de responsabilité et plus de temps pour la recherche, les projets et les enseignements. Certains savent exploiter le système et manœuvrent très malignement pour ne pas avoir beaucoup de responsabilités.  Les taches pénibles retombent sur les ""bonnes volontés"" des consciencieux qui se sentent investis de la volonté de faire fonctionner (un peu) le système. Dommage que ceux là se heurtent à une muraille de chine administrative...
"
"80","15925026","4/11/2023 10:07","4/11/2023 10:07","4/11/2023 10:07","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","Autre","","101 - 150","","pluridiciplinaire avec une forte composante informatique","50 - 100","<50","20","","Oui","Par nécessité de service","51 - 80","51 - 80","0","0","4","2","3","2","2","4","4","4","3","2","2","1","1","0","J'aime toujours enseigner","","NC","1","3","","","","","","","2","","","1","3","","","","J'aimerais faire de la recherche, mais je n'y parviens pas","Oui","5 - 8","5 - 8","","","1","","","","","","","","","","0/0/0","Non","Non","1","1","1","Milieu fermé, favoritisme et réseautage, les gens qui s'intéressent vraiment aux étudiants sont ceux dont la carrière ne progressera jamais."
"81","15925198","4/11/2023 10:13","4/11/2023 10:13","4/11/2023 10:13","0","0.0.0.0","0","Anonymous","Une femme","Autre statut","","EC en CDI HDR","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une Ecole d'ingénieur avec une forte composante en Informatique",">200","101 - 150","","majoritairement informatique (rattaché INS2I ou INSIS)","101 - 200","101 - 200","0","","Non","","","","238","0","5","5","5","5","5","5","5","5","5","5","2","2","","2","J'aime toujours enseigner","","2","2","4","0","2","1","1","0","2","2","4","4","2","2","1","3","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","","Oui","9 - 15","9 - 15","","","1","2","2","2","1","0","1","0","0","2","10/30/ 60","Non","Non","3","1","1",""
"82","15925699","4/11/2023 10:31","4/11/2023 10:31","4/11/2023 10:31","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","","","","","","Ecole d'Ingénieurs (hors Université)","","","une Ecole d'ingénieur avec une forte composante en Informatique","50 - 100","50 - 100",">200","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","0","","Non","","","","0","0","4","4","4","5","4","4","3","3","3","4","4","4","4","4","J'aime toujours enseigner","","4","4","4","4","4","4","2","2","3","3","3","4","4","4","4","4","J'aime toujours faire de la recherche","","Oui","5 - 8","<5","","9 - 15","4","4","4","NC","NSPP","NC","4","4","4","4","30/40/30","Je ne suis pas ou plus concerné","Oui","5","2","3",""
"83","15926339","4/11/2023 10:56","4/11/2023 10:56","4/11/2023 10:56","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","un département d'informatique d'IUT",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)","201 - 300","201 - 300","10","","Oui","Par nécessité de service","51 - 80","81 - 120","0","0","4","0","4","0","4","4","1","4","3","NSPP","1","NC","NC","0","J'aime toujours enseigner","","","2","4","1","4","2","0","0","2","3","3","3","2","4","4","1","J'aime toujours faire de la recherche","","Oui","<5","","","","2","4","3","NC","5","NSPP","5","4","4","4","45/45/10","Non","Non","3","2","3","Au delà des charges administratives, c'est l'environnement de travail qui s'est globalement dégradé : manque récurent d'enseignants (en particulier dans cette période post-covid et la baisse du niveau des étudiants associée), de nombreuses tâches annexes non sont maintenant allouées (notamment pour alléger le travail des équipes techniques et administratives), manque de bourses de thèse (hors projet de recherche), etc

La recherche de financement est aussi devenu un problème : nous consacrons un temps trop important à monter des projets qui, pour être acceptés, ont nécessairement déjà été partiellement réalisés (sinon il n'est pas possible de rédiger un projet suffisamment détaillé pour être accepté). Ce temps passé (avec les taux d'acceptation que l'on connait) ainsi que le temps d'évaluation de ces projets et donc l'argent que cela coute pourrait être mieux utilisé. 

Je ne découragerais pas un ou une jeune chercheuse d'intégrer la recherche académique mais je pense en revanche qu'il est important qu'il ou elle connaisse les conditions réelles d'exercice car la part d'enseignement/d'admistration/tâches annexes est bien plus importante que ce qu'ils ou elles peuvent imaginer."
"84","15926604","4/11/2023 11:06","4/11/2023 11:06","4/11/2023 11:06","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","","","","","","Ecole d'Ingénieurs (hors Université)","","","une autre Ecole d'ingénieur","<50","<50",">200","majoritairement non informatique (non rattaché INS2I ou INSIS)","101 - 200","<50","40","","Oui","Par nécessité de service","<50","51 - 80","0","6","3","2","2","5","3","3","4","0","3","3","1","2","NC","3","J'aime toujours enseigner mais un demi service me suffirait","","4","3","4","1","3","3","2","2","4","4","4","4","4","3","NC","NC","J'aime toujours faire de la recherche","","Oui","<5","5 - 8","","<5","0","3","4","4","1","2","0","0","1","4","30/60/10","Non","Oui","5","3","3",""
"85","15926997","4/11/2023 11:21","4/11/2023 11:21","4/11/2023 11:21","0","0.0.0.0","0","Anonymous","Une femme","Maître de Conférences (sans HDR)","","","","","","Ecole d'Ingénieurs (hors Université)","","","une autre Ecole d'ingénieur",">200","50 - 100",">200","pluridiciplinaire avec une forte composante informatique","101 - 200","","5","","Oui","Un peu des deux","<50","51 - 80","0","0","3","4","5","5","5","5","5","5","5","5","5","3","NC","1","J'aime toujours enseigner mais un demi service me suffirait","","5","2","3","3","5","2","4","NC","NC","5","4","1","2","5","3","NC","J'aime toujours faire de la recherche","","Oui","","5 - 8","","","4","2","5","0","3","1","3","4","4","5","20/70/10","Oui","Qui sait, sur un malentendu ...","5","2","3","Je suis toujours très heureuse de faire ce métier, mais sur la longueur, j'entrevois que cela peut être épuisant. Les charges d'enseignement et administratives sont très conséquentes si on veut les mener à bien, et encore, je me sens privilégiée à l'INSA. Pour que la recherche n'en pâtisse pas, il faut un rythme très soutenu que je ne pense pas arriver à tenir sur la longueur. Les délégations et CRCT me paraissent être de bonnes solutions temporaires, mais peu viables sur le long terme. Je commence déjà à être frustrée de ne pas réussir à faire autant de recherche que je le souhaiterai. 

Le manque de reconnaissance salariale, surtout en début de carrière, est un très gros frein au recrutement de bons candidats qui préfèrent partir dans l'industrie."
"86","15927036","4/11/2023 11:22","4/11/2023 11:22","4/11/2023 11:22","0","0.0.0.0","0","Anonymous","Une femme","Maître de Conférences (avec HDR)","","","","","","Autres établissement","PSL Dauphine","","une UFR avec une composante en informatique","151 - 200","",">200","majoritairement informatique (rattaché INS2I ou INSIS)","50 - 100","50 - 100","0","","Oui","Un peu des deux","81 - 120","81 - 120","0","0","5","4","3","4","3","4","3","1","1","NC","0","1","NC","1","J'aime toujours enseigner","","2","1","4","4","2","1","NC","NC","NC","1","2","1","1","0","1","NC","J'aime toujours faire de la recherche mais j'ai reduit pour des raisons personnelles","","Oui","<5","5 - 8","","","4","1","4","0","5","0","2","4","0","4","50/50/0","Je ne suis pas ou plus concerné","Non","3","1","3",""
